scientific_name,common_names,category,park_name,observations,conservation_status
Arceuthobium americanum,"American Dwarf Mistletoe, Lodgepole Pine Dwarf Mistletoe",Vascular Plant,Great Smoky Mountains National Park,82,
Percina aurantiaca,Tangerine Darter,Fish,Yellowstone National Park,239,
Philonotis longiseta,Philonotis Moss,Nonvascular Plant,Great Smoky Mountains National Park,75,
Empidonax oberholseri,Dusky Flycatcher,Bird,Bryce National Park,79,
Ambloplites rupestris,Rock Bass,Fish,Yellowstone National Park,220,
Triteleia hyacinthina,"White Brodiaea, Wild Hyacinth",Vascular Plant,Yellowstone National Park,254,
Limnanthes montana,Mountain Meadowfoam,Vascular Plant,Yosemite National Park,152,
Arundinaria gigantea ssp. gigantea,Giant Cane,Vascular Plant,Yosemite National Park,177,
Gaura biennis,Biennial Gaura,Vascular Plant,Yosemite National Park,114,
Tofieldia glabra,"Smooth Bog-Asphodel, Smooth Tofieldia",Vascular Plant,Yosemite National Park,138,Species of Concern
Cephalozia lunulifolia,Cephalozia,Nonvascular Plant,Yellowstone National Park,254,
Prenanthes alba,"White Rattlesnakeroot, White Rattlesnake-Root",Vascular Plant,Yellowstone National Park,238,
Prunus hortulana,Hortulan Plum,Vascular Plant,Yellowstone National Park,236,
Osmorhiza berteroi,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",Vascular Plant,Yosemite National Park,135,
Antennaria pulcherrima,Showy Pussytoes,Vascular Plant,Bryce National Park,99,
Penstemon rydbergii var. rydbergii,Swollen Penstemon,Vascular Plant,Yellowstone National Park,246,
Vaccinium hirsutum,Hairy Blueberry,Vascular Plant,Yellowstone National Park,213,Species of Concern
Angelica breweri,Brewer's Angelica,Vascular Plant,Yosemite National Park,164,
Sedum ternatum,"Wild Stonecrop, Wood Stonecrop",Vascular Plant,Bryce National Park,111,
Solanum dulcamara,"Bitter Nightshade, Bittersweet Nightshade, Blue Nightshade, Climbing Nightshade, European Bittersweet, Fellenwort, Woody Nightshade",Vascular Plant,Great Smoky Mountains National Park,50,
Anas cyanoptera,Cinnamon Teal,Bird,Great Smoky Mountains National Park,75,
Ranunculus alismifolius var. alismifolius,Plantainleaf Buttercup,Vascular Plant,Bryce National Park,104,
Polemonium eximium,Skypilot,Vascular Plant,Yellowstone National Park,239,
Lonicera canadensis,"American Fly-Honeysuckle, Canadian Honeysuckle",Vascular Plant,Bryce National Park,79,
Polygala sanguinea,Field Milkwort,Vascular Plant,Yellowstone National Park,261,
Carex brunnescens ssp. brunnescens,Brownish Sedge,Vascular Plant,Yosemite National Park,150,
Pedicularis bracteosa var. paysoniana,Payson's Lousewort,Vascular Plant,Bryce National Park,99,
Galium circaezans,Wild Licorice,Vascular Plant,Yosemite National Park,165,
Euphagus carolinus,Rusty Blackbird,Bird,Yosemite National Park,175,
Hypnum fertile,Hypnum Moss,Nonvascular Plant,Yosemite National Park,157,
Lupinus albifrons var. albifrons,Silver Lupine,Vascular Plant,Yosemite National Park,124,
Lithobates catesbeianus,Bullfrog,Amphibian,Yosemite National Park,136,
Torilis arvensis,Spreading Hedgeparsley,Vascular Plant,Yosemite National Park,160,
Allium geyeri var. tenerum,Bulbil Onion,Vascular Plant,Yellowstone National Park,237,
Spiranthes cernua,"Nodding Ladies'-Tresses, Nodding Lady's Tresses",Vascular Plant,Great Smoky Mountains National Park,111,
Erigeron philadelphicus,Philadelphia Fleabane,Vascular Plant,Great Smoky Mountains National Park,54,
Coreopsis lanceolata,Garden Coreopsis,Vascular Plant,Bryce National Park,92,
Coreopsis lanceolata,Lanceleaf Tickseed,Vascular Plant,Bryce National Park,92,
Eriophyllum confertiflorum var. confertiflorum,Golden-Yarrow,Vascular Plant,Yosemite National Park,123,
Viola purpurea ssp. integrifolia,Goosefoot Violet,Vascular Plant,Bryce National Park,78,
Trillium flexipes,Jennison's White Trillium,Vascular Plant,Great Smoky Mountains National Park,49,
Styrax grandifolius,Bigleaf Snowbell,Vascular Plant,Great Smoky Mountains National Park,63,
Laburnum anagyroides,Laburnum,Vascular Plant,Bryce National Park,81,
Phleum pratense,"Common Timothy, Meadow Timothy",Vascular Plant,Bryce National Park,84,
Phleum pratense,"Common Timothy, Timothy",Vascular Plant,Bryce National Park,84,
Campsis radicans,Trumpet-Creeper,Vascular Plant,Bryce National Park,123,
Hydrocotyle sibthorpioides,"Lawn Penny-Wort, Lawn Water-Penny-Wort",Vascular Plant,Great Smoky Mountains National Park,121,
Thermopsis mollis var. mollis,Softbush-Pea,Vascular Plant,Yosemite National Park,133,
Calochortus nudus,Naked Mariposa Lily,Vascular Plant,Great Smoky Mountains National Park,93,
Picoides pubescens,Downy Woodpecker,Bird,Great Smoky Mountains National Park,55,Species of Concern
Gayophytum decipiens,Deceptive Groundsmoke,Vascular Plant,Yellowstone National Park,224,
Dendroica virens,Black-Throated Green Warbler,Bird,Yellowstone National Park,253,
Spiraea virginiana,Virginia Spiraea,Vascular Plant,Yellowstone National Park,114,Threatened
Archilochus alexandri,Black-Chinned Hummingbird,Bird,Yellowstone National Park,246,
Rhynchospora gracilenta,Slender Beaksedge,Vascular Plant,Yosemite National Park,160,
Carex hoodii,"Hood Sedge, Hood's Sedge",Vascular Plant,Yosemite National Park,177,
Vicia cracca,"Bird Vetch, Cow Vetch, Tufted Vetch",Vascular Plant,Yosemite National Park,130,
Carex cephalophora,"Oval-Leaved Sedge, Sedge",Vascular Plant,Yosemite National Park,183,
Corvus corax,Common Raven,Bird,Great Smoky Mountains National Park,58,
Valerianella radiata,"Beaked Corn-Salad, Corn Salad",Vascular Plant,Yosemite National Park,156,
Eumeces skiltonianus,Western Skink,Reptile,Great Smoky Mountains National Park,55,
Pycnanthemum virginianum,Virginia Mountainmint,Vascular Plant,Great Smoky Mountains National Park,100,
Cerastium glomeratum,"Mouse-Ear Chickweed, Sticky Mouse-Ear Chickweed",Vascular Plant,Yosemite National Park,148,
Cerastium glomeratum,Sticky Chickweed,Vascular Plant,Yosemite National Park,148,
Lomatium torreyi,Sierra Biscuitroot,Vascular Plant,Yosemite National Park,135,
Mimulus inconspicuus,Smallflower Monkeyflower,Vascular Plant,Yosemite National Park,124,
Calycadenia mollis,Soft Western Rosinweed,Vascular Plant,Yosemite National Park,175,
Sagina saginoides,"Alpine Pearlwort, Arctic Pearlwort",Vascular Plant,Bryce National Park,109,
Corallorrhiza striata,"Hooded Coralroot, Striped Coralroot",Vascular Plant,Great Smoky Mountains National Park,69,
Plantago virginica,"Pale-Seeded Plantain, Virginia Plantain",Vascular Plant,Yosemite National Park,133,
Inula helenium,Elecampane Inula,Vascular Plant,Yosemite National Park,171,
Camissonia contorta,"Contorted Suncup, Plains Evening Primrose, Plains Eveningprimrose, Plains Evening-Primrose",Vascular Plant,Great Smoky Mountains National Park,64,
Lobelia puberula,Downy Lobelia,Vascular Plant,Great Smoky Mountains National Park,101,
Eriophyllum lanatum var. integrifolium,"Common Woolly Sunflower, Wholeleaf Eriophyllum",Vascular Plant,Yosemite National Park,117,
Melanerpes lewis,"Lewis' Woodpecker, Lewis's Woodpecker",Bird,Great Smoky Mountains National Park,82,
Melanerpes lewis,Lewis's Woodpecker,Bird,Great Smoky Mountains National Park,82,
Lilium canadense ssp. editorum,Canada Lily,Vascular Plant,Bryce National Park,125,
Lithospermum arvense,"Corn Gromwell, Puccoon",Vascular Plant,Bryce National Park,78,
Prunella vulgaris,"Common Selfheal, Heal All, Healall, Selfheal",Vascular Plant,Great Smoky Mountains National Park,75,
Prunella vulgaris,"Heal-All, Self-Heal",Vascular Plant,Great Smoky Mountains National Park,75,
Hydrophyllum capitatum var. capitatum,Ballhead Waterleaf,Vascular Plant,Bryce National Park,62,
Catostomus occidentalis,Sacramento Sucker,Fish,Bryce National Park,99,
Passer domesticus,House Sparrow,Bird,Yosemite National Park,181,
Fontinalis dalecarlica,Fontinalis Moss,Nonvascular Plant,Yosemite National Park,154,
Chenopodium simplex,"Giant-Seed Goosefoot, Mapleleaf Goosefoot",Vascular Plant,Yellowstone National Park,246,
Melica harfordii,Harford's Oniongrass,Vascular Plant,Bryce National Park,119,
Townsendia leptotes,"Common Townsend Daisy, Common Townsendia",Vascular Plant,Bryce National Park,83,
Sedum integrifolium,Ledge Stonecrop,Vascular Plant,Yosemite National Park,135,
Cerastium fontanum ssp. vulgare,"Big Chickweed, Common Mouse-Ear Chickweed",Vascular Plant,Great Smoky Mountains National Park,38,
Cerastium fontanum ssp. vulgare,Common Mouse-Ear Chickweed,Vascular Plant,Great Smoky Mountains National Park,38,
Trifolium haydenii,Hayden's Clover,Vascular Plant,Yellowstone National Park,244,
Pycnanthemum montanum,"Mountain-Mint, Single-Haired Mountain-Mint",Vascular Plant,Yosemite National Park,152,
Vaccinium scoparium,"Grouse Whortleberry, Grouseberry, Littleleaf Huckleberry, Red Alpine Blueberry",Vascular Plant,Yosemite National Park,156,
Ludwigia palustris,"Marsh Primrose-Willow, Marsh Seedbox",Vascular Plant,Bryce National Park,57,
Ludwigia palustris,Water Purslane,Vascular Plant,Bryce National Park,57,
Empidonax traillii,Willow Flycatcher,Bird,Yellowstone National Park,229,Species of Concern
Carex brevior,"Brevior Sedge, Fescue Sedge, Shortbeak Sedge",Vascular Plant,Bryce National Park,111,
Trillium pusillum var. pusillum,Dwarf Wakerobin,Vascular Plant,Yellowstone National Park,228,Species of Concern
Koeleria macrantha,"Junegrass, Prairie Junegrass",Vascular Plant,Great Smoky Mountains National Park,83,
Vireo cassinii,Cassin's Vireo,Bird,Yosemite National Park,155,
Mollugo verticillata,"Carpet-Weed, Green Carpet-Weed",Vascular Plant,Yellowstone National Park,241,
Mollugo verticillata,"Carpetweed, Carpet-Weed, Green Carpetweed, Green Carpet-Weed, Indian Chickweed",Vascular Plant,Yellowstone National Park,241,
Ribes lacustre,Prickly Currant,Vascular Plant,Bryce National Park,76,
Erigeron ochroleucus var. ochroleucus,Buff Fleabane,Vascular Plant,Yellowstone National Park,243,
Castilleja pallescens,"Pale Indian Paintbrush, Pale Paintbrush",Vascular Plant,Yosemite National Park,214,
Sylvilagus bachmani,Brush Rabbit,Mammal,Yosemite National Park,147,Species of Concern
Carex amplifolia,Bigleaf Sedge,Vascular Plant,Yellowstone National Park,228,
Carex petasata,"Liddon Sedge, Liddon's Sedge",Vascular Plant,Bryce National Park,82,
Eriogonum rosense,"Mount Rose Buckwheat, Rosy Buckwheat",Vascular Plant,Bryce National Park,107,
Rhododendron,"Azaleas, Rhododendron",Vascular Plant,Great Smoky Mountains National Park,85,
Astragalus cibarius,Browse Milkvetch,Vascular Plant,Great Smoky Mountains National Park,94,
Ranunculus repens,Creeping Buttercup,Vascular Plant,Yellowstone National Park,222,
Ranunculus repens,"Creeping Buttercup, Creeping Butter-Cup",Vascular Plant,Yellowstone National Park,222,
Eriogonum incanum,Frosted Buckwheat,Vascular Plant,Great Smoky Mountains National Park,85,
Veronica peregrina,Purslane Speedwell,Vascular Plant,Yellowstone National Park,236,
Bidens bipinnata,Spanish-Needles,Vascular Plant,Great Smoky Mountains National Park,121,
Centrocercus urophasianus,"Greater Sage Grouse, Greater Sage-Grouse, Sage Grouse",Bird,Yellowstone National Park,268,
Centrocercus urophasianus,Greater Sage-Grouse,Bird,Yellowstone National Park,268,
Phoxinus oreas,Mountain Redbelly Dace,Fish,Yosemite National Park,143,
Polygala alba,White Milkwort,Vascular Plant,Bryce National Park,93,
Viburnum acerifolium,"Maple-Leaf Viburnum, Maple-Leaved Viburnum",Vascular Plant,Great Smoky Mountains National Park,97,
Torilis nodosa,"Knotted Hedgeparsley, Knotted Hedge-Parsley",Vascular Plant,Great Smoky Mountains National Park,56,
Phlox ovata,Mountain Phlox,Vascular Plant,Yellowstone National Park,236,
Pseudotriton ruber nitidus,Blue Ridge Red Salamander,Amphibian,Yellowstone National Park,250,
Galium pedemontana,Narrow Bedstraw,Vascular Plant,Bryce National Park,112,
Eleocharis quadrangulata,Squarestem Spikerush,Vascular Plant,Great Smoky Mountains National Park,110,
Eleocharis bolanderi,Bolander's Spikerush,Vascular Plant,Great Smoky Mountains National Park,76,
Grayia spinosa,Spiny Hopsage,Vascular Plant,Yellowstone National Park,244,
Ranunculus testiculatus,"Bur Buttercup, Curveseed Butterwort, Little Bur, Testiculate Buttercup",Vascular Plant,Yellowstone National Park,256,
Cinna arundinacea,"Reedgrass, Stout Wood Reed-Grass",Vascular Plant,Yosemite National Park,158,
Plethodon serratus,Southern Red-Backed Salamander,Amphibian,Bryce National Park,61,
Juncus trifidus,Highland Rush,Vascular Plant,Bryce National Park,73,
Carex crebriflora,Coastalplain Sedge,Vascular Plant,Great Smoky Mountains National Park,79,
Potentilla ovina var. ovina,Sheep Cinquefoil,Vascular Plant,Bryce National Park,104,
Hesperostipa comata ssp. comata,"Needle And Thread, Needleandthread",Vascular Plant,Yosemite National Park,128,
Hackelia floribunda,"Manyflower Stickseed, Manyflowered Stickseed, Showy Stickseed",Vascular Plant,Yellowstone National Park,238,
Silene stellata,"Starry Campion, Starry Catchfly",Vascular Plant,Yellowstone National Park,261,
Lagopus leucura,White-Tailed Ptarmigan,Bird,Yosemite National Park,175,
Luzula acuminata var. acuminata,Wood-Rush,Vascular Plant,Yellowstone National Park,268,
Sericocarpus linifolius,Narrowleaf Whitetop Aster,Vascular Plant,Great Smoky Mountains National Park,66,
Plagiobothrys myosotoides,Forget-Me-Not Popcornflower,Vascular Plant,Bryce National Park,84,
Calamagrostis breweri,Shorthair Reedgrass,Vascular Plant,Great Smoky Mountains National Park,57,
Quercus chrysolepis,Canyon Live Oak,Vascular Plant,Bryce National Park,86,
Vermivora ruficapilla,Nashville Warbler,Bird,Great Smoky Mountains National Park,59,Species of Concern
Pycnanthemum muticum,"Blunt Mountainmint, Clustered Mountainmint",Vascular Plant,Bryce National Park,90,
Castilleja crista-galli,Mountainside Indian Paintbrush,Vascular Plant,Great Smoky Mountains National Park,84,
Portulaca oleracea,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",Vascular Plant,Yellowstone National Park,258,
Portulaca oleracea,Common Purslane,Vascular Plant,Yellowstone National Park,258,
Digitaria ischaemum,"Small Crabgrass, Smooth Crab Grass, Smooth Crabgrass",Vascular Plant,Great Smoky Mountains National Park,71,
Digitaria ischaemum,Smooth Crabgrass,Vascular Plant,Great Smoky Mountains National Park,71,
Agrostis stolonifera,"Carpet Bentgrass, Creeping Bent, Creeping Bentgrass, Redtop, Redtop Bent, Seaside Bentgrass, Spreading Bent",Vascular Plant,Great Smoky Mountains National Park,106,
Agrostis stolonifera,Creeping Bentgrass,Vascular Plant,Great Smoky Mountains National Park,106,
Ranunculus sceleratus var. multifidus,"Blister Buttercup, Cursed Buttercup",Vascular Plant,Bryce National Park,93,
Bromus commutatus,"Common Brome Grass, Hairy Brome",Vascular Plant,Bryce National Park,106,
Eriophyllum lanatum var. integrifolium,"Common Woolly Sunflower, Wholeleaf Eriophyllum",Vascular Plant,Bryce National Park,105,
Falco sparverius,American Kestrel,Bird,Yosemite National Park,126,
Clethra acuminata,Mountain Pepper-Bush,Vascular Plant,Great Smoky Mountains National Park,86,
Iva xanthifolia,"Burweed Marshelder, Carelessweed, False Ragweed, Giant Marshelder, Giant Sumpweed, Horseweed, Marshelder, Rag Sumpweed",Vascular Plant,Yellowstone National Park,253,
Hieracium scabrum,Rough Hawkweed,Vascular Plant,Yellowstone National Park,245,
Scutellaria integrifolia,"Entire-Leaved Skullcap, Hyssop Skullcap",Vascular Plant,Bryce National Park,77,
Lolium perenne,"Italian Ryegrass, Perennial Rye Grass, Perennial Ryegrass",Vascular Plant,Yellowstone National Park,281,
Lolium perenne,Perennial Ryegrass,Vascular Plant,Yellowstone National Park,281,
Penstemon laevigatus,"Smooth Beardtongue, Smooth Beard-Tongue",Vascular Plant,Bryce National Park,119,
Eriogonum heracleoides var. heracleoides,Parsnipflower Buckwheat,Vascular Plant,Yosemite National Park,149,
Asplenium platyneuron,Ebony Spleenwort,Vascular Plant,Yellowstone National Park,267,
Youngia japonica,Oriental False Hawksbeard,Vascular Plant,Great Smoky Mountains National Park,68,
Hydrophyllum occidentale,"Squaw-Lettuce, Western Waterleaf",Vascular Plant,Great Smoky Mountains National Park,82,
Tytonidae,Barn-Owls,Bird,Yellowstone National Park,238,
Cynosurus cristatus,Crested Dogstailgrass,Vascular Plant,Yosemite National Park,153,
Contia tenuis,Sharp-Tailed Snake,Reptile,Bryce National Park,103,
Carex pyrenaica,Pyrenean Sedge,Vascular Plant,Yellowstone National Park,232,
Thalictrum revolutum,"Waxleaf Meadowrue, Waxyleaf Meadowrue",Vascular Plant,Great Smoky Mountains National Park,82,
Aesculus flava,Yellow Buckeye,Vascular Plant,Yellowstone National Park,212,
Iris verna var. smalliana,Dwarf Violet Iris,Vascular Plant,Yosemite National Park,154,
Juncus confusus,Colorado Rush,Vascular Plant,Great Smoky Mountains National Park,35,
Lonicera involucrata var. involucrata,Twinberry Honeysuckle,Vascular Plant,Great Smoky Mountains National Park,73,
Chenopodium glaucum var. salinum,Rocky Mountain Goosefoot,Vascular Plant,Bryce National Park,92,
Linaria dalmatica,"Dalmatian Toadflax, Dalmation Toadflax",Vascular Plant,Yellowstone National Park,274,
Arenaria interpres,Ruddy Turnstone,Bird,Bryce National Park,94,
Sinapis arvensis,"Charlock, Charlock Mustard, Corn Mustard, Corn-Mustard, Wild Mustard",Vascular Plant,Great Smoky Mountains National Park,85,
Cardamine parviflora var. arenicola,Sand Bittercress,Vascular Plant,Great Smoky Mountains National Park,63,
Krigia virginica,"Dwarf Dandelion, Virginia Dwarf Dandelion",Vascular Plant,Yellowstone National Park,274,
Sida hermaphrodita,Virginia Fanpetals,Vascular Plant,Yellowstone National Park,261,
Phacelia ramosissima var. subglabra,Branching Phacelia,Vascular Plant,Great Smoky Mountains National Park,78,
Microtus californicus,California Meadow Mouse,Mammal,Great Smoky Mountains National Park,71,
Mazus pumilus,Mazus,Vascular Plant,Yosemite National Park,161,
Diervilla sessilifolia,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",Vascular Plant,Yellowstone National Park,231,
Ceanothus velutinus var. velutinus,Snowbrush Ceanothus,Vascular Plant,Yosemite National Park,177,
Scirpus atrovirens,"Bulrush, Woolgrass Bulrush",Vascular Plant,Bryce National Park,120,
Juncus torreyi,"Torrey Rush, Torrey's Rush",Vascular Plant,Great Smoky Mountains National Park,73,
Brachyelytrum erectum,"Bearded Short-Husk, Common Shorthusk",Vascular Plant,Great Smoky Mountains National Park,86,
Parnassia palustris var. montanensis,"Mountain Grass Of Parnassus, Northern Grass-Of-Parnassus",Vascular Plant,Yosemite National Park,131,
Eriogonum nudum var. deductum,Naked Buckwheat,Vascular Plant,Yosemite National Park,150,
Gavia pacifica,"Pacific Diver, Pacific Loon",Bird,Yellowstone National Park,275,
Gavia pacifica,Pacific Loon,Bird,Yellowstone National Park,275,
Bartonia virginica,"Bartonia, Yellow Screwstem",Vascular Plant,Yosemite National Park,133,
Athyrium filix-femina ssp. asplenioides,Southern Lady Fern,Vascular Plant,Great Smoky Mountains National Park,73,
Raphanus raphanistrum,Wild Radish,Vascular Plant,Yosemite National Park,143,
Eleocharis tuberculosa,Cone-Cup Spikerush,Vascular Plant,Yosemite National Park,145,
Heterophyllium affine,Heterophyllium Moss,Nonvascular Plant,Yosemite National Park,138,
Lindernia dubia,"Moistbank Pimpernel, Shortstalk Lindernia, Yellowseed False Pimpernel, Yellow-Seed False Pimpernel",Vascular Plant,Bryce National Park,98,
Lindernia dubia,"Moistbank Pimpernel, Yellow-Seed False-Pimpernel",Vascular Plant,Bryce National Park,98,
Dianthus armeria,Deptford Pink,Vascular Plant,Bryce National Park,81,
Dianthus armeria,"Deptford Pink, Deptford-Pink",Vascular Plant,Bryce National Park,81,
Arenaria interpres,Ruddy Turnstone,Bird,Yellowstone National Park,216,
Pellaea breweri,Brewer's Cliffbrake,Vascular Plant,Bryce National Park,115,
Cnicus benedictus,"Blessed Thistle, Blessed-Thistle",Vascular Plant,Yosemite National Park,108,
Suaeda calceoliformis,"Paiuteweed, Pursh Seepweed, Western Seepweed",Vascular Plant,Yosemite National Park,136,
Fraxinus dipetala,"California Ash, Two-Petal Ash",Vascular Plant,Yosemite National Park,106,
Aquilegia formosa,"Crimson Columbine, Western Columbine",Vascular Plant,Yellowstone National Park,234,
Cyanocitta cristata,Blue Jay,Bird,Bryce National Park,97,
Chaenactis glabriuscula var. megacephala,Yellow Pincushion,Vascular Plant,Yellowstone National Park,253,
Sidalcea malviflora ssp. asprella,Dwarf Checkerbloom,Vascular Plant,Yellowstone National Park,232,
Sambucus mexicana,Mexican Elder,Vascular Plant,Bryce National Park,127,
Chamerion latifolium,Dwarf Fireweed,Vascular Plant,Yosemite National Park,151,
Robinia hispida var. hispida,Bristly Locust,Vascular Plant,Yosemite National Park,145,
Pinus echinata,Short-Leaf Pine,Vascular Plant,Yosemite National Park,174,
Sporobolus clandestinus,Rough Dropseed,Vascular Plant,Yellowstone National Park,296,
Bos bison,"American Bison, Bison",Mammal,Great Smoky Mountains National Park,77,
Limosella aquatica,"Awlleaf Mudwort, Awl-Leaf Mudwort, Northern Mudwort, Water Mudwort",Vascular Plant,Bryce National Park,85,
Leucanthemum vulgare,Daisy,Vascular Plant,Great Smoky Mountains National Park,83,
Leucanthemum vulgare,"Oxeye Daisy, Ox-Eye Daisy, Oxeyedaisy, Oxeye-Daisy",Vascular Plant,Great Smoky Mountains National Park,83,
Carex pellita,Woolly Sedge,Vascular Plant,Yosemite National Park,179,
Astragalus whitneyi var. whitneyi,"Balloonpod Milkvetch, Whitney's Milkvetch",Vascular Plant,Yellowstone National Park,264,
Quercus garryana var. breweri,Oregon White Oak,Vascular Plant,Yosemite National Park,183,
Spiranthes vernalis,"Early Lady's Tresses, Grassleaf Ladies'-Tresses",Vascular Plant,Great Smoky Mountains National Park,69,
Carex amphibola var. turgida,Turgid Sedge,Vascular Plant,Yellowstone National Park,252,
Penstemon procerus,"Littleflower Penstemon, Pincushion Beardtongue",Vascular Plant,Yosemite National Park,121,
Collomia linearis,"Narrowleaf Mountaintrumpet, Narrow-Leaf Mountain-Trumpet, Slenderleaf Collomia, Tiny Trumpet",Vascular Plant,Bryce National Park,79,
Lycoris radiata,Magic Lily,Vascular Plant,Bryce National Park,103,
Senecio crassulus,"Meadow Groundsel, Thickleaf Groundsel, Thickleaf Ragwort",Vascular Plant,Yellowstone National Park,287,
Bryhnia novae-angliae,New England Bryhnia Moss,Nonvascular Plant,Bryce National Park,87,
Arabis laevigata var. laevigata,Smooth Rockcress,Vascular Plant,Yosemite National Park,134,
Polytrichum strictum,Polytrichum Moss,Nonvascular Plant,Great Smoky Mountains National Park,78,
Ovis canadensis sierrae,Sierra Nevada Bighorn Sheep,Mammal,Bryce National Park,22,Endangered
Senecio jacobaea,"Ragwort, Stinking Willie, Tansy Ragwort",Vascular Plant,Great Smoky Mountains National Park,74,
Setophaga americana,Northern Parula,Bird,Yosemite National Park,161,
Lewisia nevadensis,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",Vascular Plant,Yellowstone National Park,268,
Solidago odora,"Fragrant Goldenrod, Sweet Goldenrod",Vascular Plant,Bryce National Park,72,
Claytonia megarhiza,Alpine Springbeauty,Vascular Plant,Yellowstone National Park,245,
Eriogonum lobbii var. lobbii,Lobb's Buckwheat,Vascular Plant,Yellowstone National Park,274,
Vicia cracca ssp. cracca,Bird Vetch,Vascular Plant,Yosemite National Park,110,
Minuartia stricta,Bog Stitchwort,Vascular Plant,Yosemite National Park,135,
Collomia grandiflora,"Grand Collomia, Largeflowered Collomia",Vascular Plant,Yellowstone National Park,238,
Eriogonum nudum var. nudum,Naked Buckwheat,Vascular Plant,Great Smoky Mountains National Park,73,
Calypogeja sphagnicola,Sphagnum Calypogeja,Nonvascular Plant,Yellowstone National Park,218,
Artemisia rothrockii,Timberline Sagebrush,Vascular Plant,Yellowstone National Park,269,
Malus pumila,"Apple, Common Apple",Vascular Plant,Yellowstone National Park,275,
Malus pumila,Paradise Apple,Vascular Plant,Yellowstone National Park,275,
Carex diandra,"Lesser Panicled Sedge, Lesser Tussock Sedge",Vascular Plant,Great Smoky Mountains National Park,77,
Aronia X prunifolia,Purple Chokeberry Hybrid,Vascular Plant,Bryce National Park,100,
Carex trichocarpa,Hairyfruit Sedge,Vascular Plant,Great Smoky Mountains National Park,105,
Fissidens bushii,Bush's Fissidens Moss,Nonvascular Plant,Yellowstone National Park,234,
Quercus alba,White Oak,Vascular Plant,Great Smoky Mountains National Park,47,
Desmognathus wrighti,Pigmy Salamander,Amphibian,Great Smoky Mountains National Park,85,Species of Concern
Eurybia divaricata,White Wood Aster,Vascular Plant,Yosemite National Park,144,
Streptopus amplexifolius,"Clasping Twistedstalk, Claspleaf Twistedstalk, Twisted Stalk",Vascular Plant,Yosemite National Park,164,
Epilobium torreyi,"Narrowleaf Willowweed, Torrey's Willowherb",Vascular Plant,Great Smoky Mountains National Park,67,
Carex austrocaroliniana,"A Sedge, South Carolina Sedge",Vascular Plant,Great Smoky Mountains National Park,109,
Valeriana edulis var. edulis,Tobacco Root,Vascular Plant,Bryce National Park,94,
Hydrophyllum virginianum var. atranthum,Virginia Waterleaf,Vascular Plant,Great Smoky Mountains National Park,60,
Bryum capillare,Bryum Moss,Nonvascular Plant,Yosemite National Park,142,
Mimulus moschatus,"Musk Monkeyflower, Muskflower",Vascular Plant,Yellowstone National Park,252,
Oxalis grandis,"Great Yellow Wood-Sorrel, Large Wood-Sorrel",Vascular Plant,Bryce National Park,87,
Tachycineta bicolor,Tree Swallow,Bird,Bryce National Park,101,Species of Concern
Sturnus vulgaris,"Common Starling, European Starling",Bird,Great Smoky Mountains National Park,68,
Sturnus vulgaris,European Starling,Bird,Great Smoky Mountains National Park,68,
Pomoxis nigromaculatus,Black Crappie,Fish,Yosemite National Park,191,
Leymus triticoides,"Beardless Lyme Grass, Beardless Wildrye, Creeping Wildrye",Vascular Plant,Great Smoky Mountains National Park,94,
Eurhynchium pulchellum,Eurhynchium Moss,Nonvascular Plant,Yellowstone National Park,259,
Carex cristatella,"Sedge, Small Crested Sedge",Vascular Plant,Yosemite National Park,170,
Hirundo rustica,Barn Swallow,Bird,Great Smoky Mountains National Park,45,
Clasmatodon parvulus,Clasmatodon Moss,Nonvascular Plant,Yellowstone National Park,254,
Carex livida,Livid Sedge,Vascular Plant,Yosemite National Park,130,
Calcarius mccownii,Mccown's Longspur,Bird,Yosemite National Park,153,Species of Concern
Zenaida macroura,Mourning Dove,Bird,Yellowstone National Park,232,
Sonchus oleraceus,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",Vascular Plant,Yellowstone National Park,225,
Madia elegans ssp. elegans,Common Madia,Vascular Plant,Bryce National Park,77,
Sisyrinchium mucronatum,"Blue-Eyed Grass, Michaux Blue-Eyed-Grass",Vascular Plant,Bryce National Park,93,
Cyperus flavescens,"Pale Flatsedge, Yellow Flatsedge",Vascular Plant,Yellowstone National Park,260,
Minuartia pusilla,"Annual Sandwort, Dwarf Sandwort",Vascular Plant,Great Smoky Mountains National Park,107,
Elaeagnus commutata,Silverberry,Vascular Plant,Yellowstone National Park,242,
Phaeoceros laevis ssp. carolinianus,Carolina Phaeoceros,Nonvascular Plant,Great Smoky Mountains National Park,52,
Asclepias tuberosa,"Butterfly-Weed, Butterfly Milkweed",Vascular Plant,Great Smoky Mountains National Park,84,
Carex virescens,"Ribbed Sedge, Sedge",Vascular Plant,Yellowstone National Park,244,
Tamias striatus,Eastern Chipmunk,Mammal,Yosemite National Park,148,
